iter	Passed	Remaining
0	304	151900
1	408	101657
2	568	94128
3	872	108182
4	1263	125083
5	1476	121598
6	1633	115032
7	1780	109502
8	1886	102909
9	1979	96995
10	2081	92538
11	2179	88623
12	2275	85256
13	2373	82394
14	2461	79587
15	2675	80928
16	2799	79549
17	2900	77655
18	3029	76683
19	3183	76395
20	3369	76848
21	3463	75255
22	3588	74412
23	3699	73371
24	3837	72919
25	4008	73070
26	4159	72872
27	4481	75537
28	4820	78290
29	4967	77823
30	5233	79173
31	5457	79822
32	5608	79371
33	5745	78742
34	5904	78441
35	6052	78004
36	6175	77281
37	6290	76484
38	6379	75407
39	6468	74390
40	6552	73355
41	6636	72367
42	6723	71457
43	6812	70598
44	6899	69762
45	6980	68896
46	7064	68085
47	7146	67293
48	7231	66555
49	7318	65870
50	7396	65118
51	7485	64493
52	7557	63739
53	7638	63084
54	7715	62422
55	7791	61779
56	7898	61385
57	8005	61005
58	8109	60613
59	8185	60025
60	8261	59453
61	8333	58872
62	8418	58391
63	8513	58001
64	8603	57577
65	8692	57162
66	8779	56736
67	8870	56355
68	8963	55990
69	9042	55549
70	9117	55091
71	9191	54636
72	9259	54159
73	9334	53735
74	9427	53423
75	9532	53181
76	9603	52758
77	9676	52351
78	9750	51963
79	9823	51573
80	9892	51170
81	9962	50784
82	10033	50409
83	10102	50032
84	10171	49659
85	10251	49349
86	10329	49036
87	10411	48745
88	10487	48429
89	10557	48097
90	10629	47774
91	10700	47452
92	10769	47130
93	10840	46822
94	10914	46528
95	10984	46225
96	11056	45934
97	11123	45628
98	11194	45343
99	11266	45067
100	11343	44813
101	11417	44551
102	11487	44275
103	11556	44004
104	11629	43748
105	11701	43494
106	11770	43231
107	11840	42975
108	11908	42716
109	11977	42466
110	12065	42285
111	12146	42079
112	12232	41892
113	12317	41705
114	12404	41528
115	12496	41368
116	12581	41187
117	12662	40993
118	12730	40757
119	12833	40638
120	12918	40462
121	13033	40383
122	13107	40174
123	13180	39965
124	13265	39795
125	13389	39744
126	13467	39554
127	13556	39397
128	13633	39209
129	13706	39010
130	13777	38807
131	13849	38609
132	13918	38408
133	13995	38227
134	14067	38035
135	14141	37849
136	14216	37669
137	14288	37481
138	14364	37306
139	14446	37147
140	14527	36987
141	14614	36846
142	14691	36678
143	14872	36768
144	14959	36624
145	15034	36453
146	15103	36269
147	15178	36100
148	15266	35962
149	15338	35790
150	15415	35629
151	15522	35537
152	15632	35454
153	15736	35356
154	15825	35224
155	15919	35104
156	16012	34981
157	16102	34854
158	16196	34736
159	16288	34613
160	16370	34468
161	16444	34310
162	16518	34152
163	16592	33994
164	16668	33842
165	16741	33683
166	16815	33529
167	16887	33373
168	16955	33208
169	17031	33060
170	17106	32912
171	17181	32764
172	17255	32615
173	17334	32477
174	17405	32324
175	17474	32169
176	17545	32018
177	17649	31928
178	17763	31854
179	17870	31769
180	17956	31647
181	18035	31512
182	18106	31365
183	18179	31221
184	18258	31088
185	18333	30949
186	18413	30821
187	18498	30700
188	18584	30580
189	18667	30458
190	18755	30342
191	18840	30223
192	18916	30089
193	18998	29966
194	19075	29836
195	19150	29702
196	19230	29577
197	19324	29474
198	19438	29402
199	19531	29297
200	19625	29194
201	19723	29096
202	19825	29005
203	19931	28919
204	20027	28819
205	20109	28699
206	20188	28575
207	20262	28445
208	20336	28314
209	20404	28177
210	20498	28076
211	20600	27984
212	20683	27869
213	20760	27745
214	20839	27624
215	20939	27531
216	21039	27438
217	21132	27335
218	21212	27217
219	21288	27094
220	21373	26983
221	21448	26858
222	21523	26735
223	21607	26623
224	21683	26501
225	21770	26393
226	21845	26272
227	21918	26148
228	21987	26020
229	22059	25895
230	22130	25771
231	22211	25658
232	22282	25533
233	22352	25409
234	22423	25286
235	22499	25168
236	22589	25067
237	22666	24952
238	22743	24836
239	22819	24720
240	22894	24604
241	22974	24493
242	23065	24394
243	23156	24295
244	23282	24233
245	23372	24132
246	23465	24035
247	23615	23996
248	23798	23989
249	23959	23959
250	24162	23970
251	24255	23870
252	24331	23754
253	24407	23638
